recv_time sog lng lat
2017-02-11 10:42:16 120 121.736891 31.289193
2017-02-11 10:42:36 118 121.735991 31.290068
2017-02-11 10:43:16 115 121.734323 31.291638
2017-02-11 10:43:45 113 121.733058 31.292823
2017-02-11 10:44:07 111 121.732198 31.293626
2017-02-11 10:44:15 111 121.731836 31.29397
2017-02-11 10:44:46 109 121.730818 31.29494
2017-02-11 10:45:24 105 121.729136 31.296511
2017-02-11 10:45:45 102 121.728345 31.297256
2017-02-11 10:46:06 100 121.727578 31.297988
2017-02-11 10:46:37 97 121.726506 31.299008
2017-02-11 10:47:06 95 121.725451 31.300003
2017-02-11 10:47:15 94 121.725138 31.30029
2017-02-11 10:47:36 93 121.724418 31.300955
2017-02-11 10:47:45 93 121.72411 31.301243
2017-02-11 10:48:15 92 121.723071 31.302201
2017-02-11 10:48:24 93 121.72272 31.302516
2017-02-11 10:48:36 93 121.722335 31.302866
2017-02-11 10:49:06 94 121.721318 31.303791
2017-02-11 10:49:16 94 121.720936 31.304146
2017-02-11 10:49:45 95 121.719908 31.305073
2017-02-11 10:50:07 95 121.719171 31.305758
2017-02-11 10:50:25 94 121.718516 31.306381
2017-02-11 10:50:36 94 121.718208 31.306673
2017-02-11 10:50:45 94 121.717828 31.30703
2017-02-11 10:50:55 94 121.717488 31.307355
2017-02-11 10:51:16 93 121.716771 31.308035
2017-02-11 10:51:36 93 121.716093 31.30868
2017-02-11 10:51:45 93 121.715786 31.308971
2017-02-11 10:51:56 93 121.715446 31.309293
2017-02-11 10:52:06 93 121.715078 31.309646
2017-02-11 10:52:16 93 121.71481 31.309905
2017-02-11 10:52:25 92 121.714538 31.310165
2017-02-11 10:52:36 93 121.714063 31.310615
2017-02-11 10:53:16 94 121.712726 31.311901
2017-02-11 10:53:36 94 121.712093 31.312543
2017-02-11 10:53:56 94 121.711451 31.31323
2017-02-11 10:54:16 95 121.710783 31.313956
2017-02-11 10:54:26 96 121.710495 31.314265
2017-02-11 10:54:36 96 121.710198 31.314621
2017-02-11 10:55:26 98 121.708723 31.316493
2017-02-11 10:55:36 98 121.708438 31.316875
2017-02-11 10:56:15 100 121.707295 31.318411
2017-02-11 10:56:36 100 121.706711 31.319201
2017-02-11 10:57:36 104 121.704928 31.32164
2017-02-11 10:58:25 109 121.703418 31.323691
2017-02-11 10:58:45 110 121.7028 31.324511
2017-02-11 10:58:56 112 121.702408 31.32504
2017-02-11 10:59:06 112 121.702108 31.325438
2017-02-11 10:59:16 113 121.701771 31.325876
2017-02-11 10:59:45 116 121.700786 31.327168
2017-02-11 11:00:36 118 121.698963 31.329518
2017-02-11 11:01:15 120 121.697593 31.33133
